Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Price UP ($),Price DOWN ($),UP Bid,UP Ask,DOWN Bid,DOWN Ask,Entry Type,Watch Mode Entry,Paper Mode Entry,Notes
1767865029378,2026-01-08T09:37:09.378Z,2026,1,8,9,37,9,378,0.2450,0.7550,0.2400,0.2500,0.7500,0.7600,,,,
1767865031862,2026-01-08T09:37:11.862Z,2026,1,8,9,37,11,862,0.2350,0.7650,0.2300,0.2400,0.7600,0.7700,,,,
1767865031955,2026-01-08T09:37:11.955Z,2026,1,8,9,37,11,955,0.2400,0.7600,0.2300,0.2500,0.7500,0.7700,,,,
1767865032072,2026-01-08T09:37:12.072Z,2026,1,8,9,37,12,72,0.2450,0.7550,0.2400,0.2500,0.7500,0.7600,,,,
1767865038407,2026-01-08T09:37:18.407Z,2026,1,8,9,37,18,407,0.2350,0.7650,0.2200,0.2500,0.7500,0.7800,,,,
1767865038488,2026-01-08T09:37:18.488Z,2026,1,8,9,37,18,488,0.2400,0.7600,0.2300,0.2500,0.7500,0.7700,,,,
1767865038527,2026-01-08T09:37:18.527Z,2026,1,8,9,37,18,527,0.2350,0.7650,0.2300,0.2400,0.7600,0.7700,,,,
1767865042743,2026-01-08T09:37:22.743Z,2026,1,8,9,37,22,743,0.2450,0.7550,0.2400,0.2500,0.7500,0.7600,,,,
1767865044119,2026-01-08T09:37:24.119Z,2026,1,8,9,37,24,119,0.2500,0.7500,0.2400,0.2600,0.7400,0.7600,,,,
1767865045948,2026-01-08T09:37:25.948Z,2026,1,8,9,37,25,948,0.2550,0.7450,0.2500,0.2600,0.7400,0.7500,,,,
1767865046303,2026-01-08T09:37:26.303Z,2026,1,8,9,37,26,303,0.2500,0.7500,0.2400,0.2600,0.7400,0.7600,,,,
1767865046352,2026-01-08T09:37:26.352Z,2026,1,8,9,37,26,352,0.2550,0.7450,0.2500,0.2600,0.7400,0.7500,,,,
1767865048139,2026-01-08T09:37:28.139Z,2026,1,8,9,37,28,139,0.2500,0.7500,0.2400,0.2600,0.7400,0.7600,,,,
1767865048205,2026-01-08T09:37:28.205Z,2026,1,8,9,37,28,205,0.2550,0.7450,0.2500,0.2600,0.7400,0.7500,,,,
1767865049243,2026-01-08T09:37:29.243Z,2026,1,8,9,37,29,243,0.2500,0.7500,0.2400,0.2600,0.7400,0.7600,,,,
1767865049768,2026-01-08T09:37:29.768Z,2026,1,8,9,37,29,768,0.2550,0.7450,0.2500,0.2600,0.7400,0.7500,,,,
1767865050241,2026-01-08T09:37:30.241Z,2026,1,8,9,37,30,241,0.2500,0.7500,0.2400,0.2600,0.7400,0.7600,,,,
1767865051120,2026-01-08T09:37:31.120Z,2026,1,8,9,37,31,120,0.2550,0.7450,0.2500,0.2600,0.7400,0.7500,,,,
1767865051621,2026-01-08T09:37:31.621Z,2026,1,8,9,37,31,621,0.2650,0.7350,0.2500,0.2800,0.7200,0.7500,,,,
1767865051655,2026-01-08T09:37:31.655Z,2026,1,8,9,37,31,655,0.2700,0.7300,0.2600,0.2800,0.7200,0.7400,,,,
1767865052120,2026-01-08T09:37:32.120Z,2026,1,8,9,37,32,120,0.2650,0.7350,0.2600,0.2700,0.7300,0.7400,,,,
1767865052503,2026-01-08T09:37:32.503Z,2026,1,8,9,37,32,503,0.2700,0.7300,0.2600,0.2800,0.7200,0.7400,,,,
1767865052812,2026-01-08T09:37:32.812Z,2026,1,8,9,37,32,812,0.2650,0.7350,0.2500,0.2800,0.7200,0.7500,,,,
1767865053113,2026-01-08T09:37:33.113Z,2026,1,8,9,37,33,113,0.2700,0.7300,0.2600,0.2800,0.7200,0.7400,,,,
1767865053534,2026-01-08T09:37:33.534Z,2026,1,8,9,37,33,534,0.2650,0.7350,0.2500,0.2800,0.7200,0.7500,,,,
1767865053678,2026-01-08T09:37:33.678Z,2026,1,8,9,37,33,678,0.2600,0.7400,0.2500,0.2700,0.7300,0.7500,,,,
1767865055204,2026-01-08T09:37:35.204Z,2026,1,8,9,37,35,204,0.2650,0.7350,0.2600,0.2700,0.7300,0.7400,,,,
1767865055580,2026-01-08T09:37:35.580Z,2026,1,8,9,37,35,580,0.2600,0.7400,0.2500,0.2700,0.7300,0.7500,,,,
1767865057198,2026-01-08T09:37:37.198Z,2026,1,8,9,37,37,198,0.2650,0.7350,0.2600,0.2700,0.7300,0.7400,,,,
1767865062068,2026-01-08T09:37:42.068Z,2026,1,8,9,37,42,68,0.2550,0.7450,0.2500,0.2600,0.7400,0.7500,,,,
1767865066000,2026-01-08T09:37:46.000Z,2026,1,8,9,37,46,0,0.2500,0.7500,0.2400,0.2600,0.7400,0.7600,,,,
1767865066009,2026-01-08T09:37:46.009Z,2026,1,8,9,37,46,9,0.2450,0.7550,0.2400,0.2500,0.7500,0.7600,,,,
1767865066218,2026-01-08T09:37:46.218Z,2026,1,8,9,37,46,218,0.2350,0.7650,0.2300,0.2400,0.7600,0.7700,,,,
1767865066269,2026-01-08T09:37:46.269Z,2026,1,8,9,37,46,269,0.2200,0.7800,0.2100,0.2300,0.7700,0.7900,,,,
1767865066685,2026-01-08T09:37:46.685Z,2026,1,8,9,37,46,685,0.2250,0.7750,0.2100,0.2400,0.7600,0.7900,,,,
1767865066744,2026-01-08T09:37:46.744Z,2026,1,8,9,37,46,744,0.2300,0.7700,0.2200,0.2400,0.7600,0.7800,,,,
1767865066781,2026-01-08T09:37:46.781Z,2026,1,8,9,37,46,781,0.2250,0.7750,0.2200,0.2300,0.7700,0.7800,,,,
1767865085691,2026-01-08T09:38:05.691Z,2026,1,8,9,38,5,691,0.2200,0.7800,0.2100,0.2300,0.7700,0.7900,,,,
1767865085695,2026-01-08T09:38:05.695Z,2026,1,8,9,38,5,695,0.2150,0.7850,0.2100,0.2200,0.7800,0.7900,,,,
1767865086942,2026-01-08T09:38:06.942Z,2026,1,8,9,38,6,942,0.2050,0.7950,0.1900,0.2200,0.7800,0.8100,,,,
1767865086948,2026-01-08T09:38:06.948Z,2026,1,8,9,38,6,948,0.2000,0.8000,0.1900,0.2100,0.7900,0.8100,,,,
1767865087015,2026-01-08T09:38:07.015Z,2026,1,8,9,38,7,15,0.2050,0.7950,0.2000,0.2100,0.7900,0.8000,,,,
1767865087705,2026-01-08T09:38:07.705Z,2026,1,8,9,38,7,705,0.1950,0.8050,0.1800,0.2100,0.7900,0.8200,,,,
1767865087717,2026-01-08T09:38:07.717Z,2026,1,8,9,38,7,717,0.1900,0.8100,0.1800,0.2000,0.8000,0.8200,,,,
1767865087773,2026-01-08T09:38:07.773Z,2026,1,8,9,38,7,773,0.1850,0.8150,0.1800,0.1900,0.8100,0.8200,,,,
1767865088076,2026-01-08T09:38:08.076Z,2026,1,8,9,38,8,76,0.1800,0.8200,0.1700,0.1900,0.8100,0.8300,,,,
1767865088128,2026-01-08T09:38:08.128Z,2026,1,8,9,38,8,128,0.1750,0.8250,0.1700,0.1800,0.8200,0.8300,,,,
1767865088945,2026-01-08T09:38:08.945Z,2026,1,8,9,38,8,945,0.1700,0.8300,0.1600,0.1800,0.8200,0.8400,,,,
1767865091206,2026-01-08T09:38:11.206Z,2026,1,8,9,38,11,206,0.1650,0.8350,0.1600,0.1700,0.8300,0.8400,,,,
1767865091794,2026-01-08T09:38:11.794Z,2026,1,8,9,38,11,794,0.1550,0.8450,0.1500,0.1600,0.8400,0.8500,,,,
1767865092013,2026-01-08T09:38:12.013Z,2026,1,8,9,38,12,13,0.1450,0.8550,0.1400,0.1500,0.8500,0.8600,,,,
1767865092111,2026-01-08T09:38:12.111Z,2026,1,8,9,38,12,111,0.1500,0.8500,0.1400,0.1600,0.8400,0.8600,,,,
1767865092141,2026-01-08T09:38:12.141Z,2026,1,8,9,38,12,141,0.1450,0.8550,0.1400,0.1500,0.8500,0.8600,,,,
1767865092371,2026-01-08T09:38:12.371Z,2026,1,8,9,38,12,371,0.1500,0.8500,0.1400,0.1600,0.8400,0.8600,,,,
1767865092399,2026-01-08T09:38:12.399Z,2026,1,8,9,38,12,399,0.1450,0.8550,0.1400,0.1500,0.8500,0.8600,,,,
1767865092440,2026-01-08T09:38:12.440Z,2026,1,8,9,38,12,440,0.1500,0.8500,0.1400,0.1600,0.8400,0.8600,,,,
