Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Price UP ($),Price DOWN ($),UP Bid,UP Ask,DOWN Bid,DOWN Ask,Entry Type,Watch Mode Entry,Paper Mode Entry,Notes
1767904010550,2026-01-08T20:26:50.550Z,2026,1,8,20,26,50,550,0.3350,0.6650,0.3300,0.3400,0.6600,0.6700,,,,
1767904014816,2026-01-08T20:26:54.816Z,2026,1,8,20,26,54,816,0.3400,0.6600,0.3300,0.3500,0.6500,0.6700,,,,
1767904014846,2026-01-08T20:26:54.846Z,2026,1,8,20,26,54,846,0.3450,0.6550,0.3400,0.3500,0.6500,0.6600,,,,
1767904017930,2026-01-08T20:26:57.930Z,2026,1,8,20,26,57,930,0.3500,0.6500,0.3400,0.3600,0.6400,0.6600,,,,
1767904017995,2026-01-08T20:26:57.995Z,2026,1,8,20,26,57,995,0.3550,0.6450,0.3500,0.3600,0.6400,0.6500,,,,
1767904018000,2026-01-08T20:26:58.000Z,2026,1,8,20,26,58,0,0.3650,0.6350,0.3500,0.3800,0.6200,0.6500,,,,
1767904018046,2026-01-08T20:26:58.046Z,2026,1,8,20,26,58,46,0.3600,0.6400,0.3500,0.3700,0.6300,0.6500,,,,
1767904018092,2026-01-08T20:26:58.092Z,2026,1,8,20,26,58,92,0.3650,0.6350,0.3600,0.3700,0.6300,0.6400,,,,
1767904018129,2026-01-08T20:26:58.129Z,2026,1,8,20,26,58,129,0.3700,0.6300,0.3600,0.3800,0.6200,0.6400,,,,
1767904018165,2026-01-08T20:26:58.165Z,2026,1,8,20,26,58,165,0.3750,0.6250,0.3700,0.3800,0.6200,0.6300,,,,
1767904018286,2026-01-08T20:26:58.286Z,2026,1,8,20,26,58,286,0.3800,0.6200,0.3700,0.3900,0.6100,0.6300,,,,
1767904018306,2026-01-08T20:26:58.306Z,2026,1,8,20,26,58,306,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767904020805,2026-01-08T20:27:00.805Z,2026,1,8,20,27,0,805,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767904020825,2026-01-08T20:27:00.825Z,2026,1,8,20,27,0,825,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767904021152,2026-01-08T20:27:01.152Z,2026,1,8,20,27,1,152,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767904021178,2026-01-08T20:27:01.178Z,2026,1,8,20,27,1,178,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767904021185,2026-01-08T20:27:01.185Z,2026,1,8,20,27,1,185,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767904023707,2026-01-08T20:27:03.707Z,2026,1,8,20,27,3,707,0.4100,0.5900,0.4000,0.4200,0.5800,0.6000,,,,
1767904023748,2026-01-08T20:27:03.748Z,2026,1,8,20,27,3,748,0.4150,0.5850,0.4100,0.4200,0.5800,0.5900,,,,
1767904023908,2026-01-08T20:27:03.908Z,2026,1,8,20,27,3,908,0.4200,0.5800,0.4100,0.4300,0.5700,0.5900,,,,
1767904023946,2026-01-08T20:27:03.946Z,2026,1,8,20,27,3,946,0.4250,0.5750,0.4200,0.4300,0.5700,0.5800,,,,
1767904024484,2026-01-08T20:27:04.484Z,2026,1,8,20,27,4,484,0.4200,0.5800,0.4100,0.4300,0.5700,0.5900,,,,
1767904024502,2026-01-08T20:27:04.502Z,2026,1,8,20,27,4,502,0.4150,0.5850,0.4100,0.4200,0.5800,0.5900,,,,
1767904024612,2026-01-08T20:27:04.612Z,2026,1,8,20,27,4,612,0.4000,0.6000,0.3800,0.4200,0.5800,0.6200,,,,
1767904024641,2026-01-08T20:27:04.641Z,2026,1,8,20,27,4,641,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767904024649,2026-01-08T20:27:04.649Z,2026,1,8,20,27,4,649,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767904024683,2026-01-08T20:27:04.683Z,2026,1,8,20,27,4,683,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
