Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767892710674,2026-01-08T17:18:30.674Z,2026,1,8,17,18,30,674,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 12:15PM-12:30PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 12:15PM-12:30PM ET)",0xf0abda9056d4210bbbeb16ffc154f86b48b4a8234b95cecd636c75d995d63165,13.62,14.95,28.57,28.6900,28.5200,0.4350,0.5650,12.48,16.11,28.59,-1.14,1.17,0.02,0.08,0.4749,0.5241,1,1,Profit,New Market Snapshot,btc-updown-15m-1767892500
1767892710800,2026-01-08T17:18:30.800Z,2026,1,8,17,18,30,800,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 12:15PM-12:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 12PM ET)",0xf0abda9056d4210bbbeb16ffc154f86b48b4a8234b95cecd636c75d995d63165,13.62,14.95,28.57,28.6900,28.5200,0.4350,0.5650,12.48,16.11,28.59,-1.14,1.17,0.02,0.08,0.4749,0.5241,1,1,Profit,New Market Snapshot,btc-updown-15m-1767892500
1767892710839,2026-01-08T17:18:30.839Z,2026,1,8,17,18,30,839,ETH-UpDown-15,"Ethereum Up or Down - January 8, 12:15PM-12:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 12PM ET)",0x5dbc8b8166bfbfffc09cfb23bf34c4a03c538394fdb0d4e84f60735ca26eb0b7,2.18,17.78,19.95,7.1300,25.5700,0.3850,0.6150,2.75,15.73,18.47,0.57,-2.05,-1.48,-7.44,0.3055,0.6952,1,1,Loss,New Market Snapshot,eth-updown-15m-1767892500
1767892710934,2026-01-08T17:18:30.934Z,2026,1,8,17,18,30,934,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 12:15PM-12:30PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 12PM ET)",0xf0abda9056d4210bbbeb16ffc154f86b48b4a8234b95cecd636c75d995d63165,13.62,14.95,28.57,28.6900,28.5200,0.4350,0.5650,12.48,16.11,28.59,-1.14,1.17,0.02,0.08,0.4749,0.5241,1,1,Profit,New Market Snapshot,btc-updown-15m-1767892500
1767892710970,2026-01-08T17:18:30.970Z,2026,1,8,17,18,30,970,ETH-UpDown-15,"Ethereum Up or Down - January 8, 12:15PM-12:30PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 12PM ET)",0x5dbc8b8166bfbfffc09cfb23bf34c4a03c538394fdb0d4e84f60735ca26eb0b7,2.18,17.78,19.95,7.1300,25.5700,0.3850,0.6150,2.75,15.73,18.47,0.57,-2.05,-1.48,-7.44,0.3055,0.6952,1,1,Loss,New Market Snapshot,eth-updown-15m-1767892500
1767892711012,2026-01-08T17:18:31.012Z,2026,1,8,17,18,31,12,BTC-UpDown-1h-12,"Bitcoin Up or Down - January 8, 12PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 12PM ET)",0x4cec110451930e5dbbbfa81261782d66b41cdceb5308bd2e8c2b47185a21060a,14.26,1.89,16.14,20.5500,6.1800,0.6550,0.3450,13.46,2.13,15.59,-0.80,0.25,-0.55,-3.42,0.6938,0.3054,1,1,Loss,New Market Snapshot,bitcoin-up-or-down-january-8-12pm-et
1767895200484,2026-01-08T18:00:00.484Z,2026,1,8,18,0,0,484,ETH-UpDown-1h-12,"Ethereum Up or Down - January 8, 12PM ET",0x9c52c7d285947e3f0c9f0a59d40c878169a10eace1456279e4975bbe0bff6a5f,861.25,1316.27,2177.52,2218.4400,3033.6100,0.9945,0.0055,2206.24,16.68,2222.92,1344.99,-1299.58,45.40,2.09,0.3882,0.4339,340,339,UP Won,Market Closed,ethereum-up-or-down-january-8-12pm-et
1767895200487,2026-01-08T18:00:00.487Z,2026,1,8,18,0,0,487,BTC-UpDown-1h-12,"Bitcoin Up or Down - January 8, 12PM ET",0x4cec110451930e5dbbbfa81261782d66b41cdceb5308bd2e8c2b47185a21060a,1899.72,1349.93,3249.65,3206.9100,4092.3600,0.9940,0.0060,3187.67,24.55,3212.22,1287.94,-1325.37,-37.43,-1.15,0.5924,0.3299,370,403,UP Won,Market Closed,bitcoin-up-or-down-january-8-12pm-et
1767895814035,2026-01-08T18:10:14.035Z,2026,1,8,18,10,14,35,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 1:15PM-1:30PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 1PM ET)",0x9b7499cd231ef8f5a897524bb934d2cb0a91c9a3f266ecd7eb1990becd59020f,582.87,1169.12,1751.99,1626.4100,1779.3300,0.3000,0.7000,487.92,1245.53,1733.45,-94.95,76.41,-18.54,-1.06,0.3584,0.6571,216,215,Loss,New Market Snapshot,btc-updown-15m-1767896100
1767895814066,2026-01-08T18:10:14.066Z,2026,1,8,18,10,14,66,ETH-UpDown-15,"Ethereum Up or Down - January 8, 1:15PM-1:30PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 1PM ET)",0xaa0aa8287282af6b348f153973cb46131350f4f5093dda7f9e41107525f67f25,435.44,954.37,1389.81,1288.2600,1399.6300,0.1150,0.8850,148.15,1238.67,1386.82,-287.29,284.30,-2.99,-0.22,0.3380,0.6819,212,208,Loss,New Market Snapshot,eth-updown-15m-1767896100
1767896408233,2026-01-08T18:20:08.233Z,2026,1,8,18,20,8,233,ETH-UpDown-1h-1,"Ethereum Up or Down - January 8, 1PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 1PM ET)",0xe130080cf67581d0e0cc46569602bdc51423fa891695a2bb2771a43f134eb308,52.24,105.60,157.83,200.3000,144.7600,0.2450,0.7550,49.07,109.29,158.37,-3.16,3.70,0.54,0.34,0.2608,0.7295,48,36,Profit,New Market Snapshot,ethereum-up-or-down-january-8-1pm-et
1767896408265,2026-01-08T18:20:08.265Z,2026,1,8,18,20,8,265,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 1:30PM-1:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 1PM ET)",0xdd222d7524e12655f4e4fbe80385b9dda26c266276252368a43640b5e68cb9c9,515.82,468.72,984.54,1071.9700,871.0200,0.6250,0.3750,669.98,326.63,996.61,154.16,-142.09,12.07,1.23,0.4812,0.5381,40,40,Profit,New Market Snapshot,btc-updown-15m-1767897000
1767896408299,2026-01-08T18:20:08.299Z,2026,1,8,18,20,8,299,ETH-UpDown-15,"Ethereum Up or Down - January 8, 1:30PM-1:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 1PM ET)",0xa046da82208da9277e09a9fc155f433d5b39333bb9351a006d5710148ccdf018,304.41,236.44,540.85,579.2200,464.5400,0.6550,0.3450,379.39,160.27,539.66,74.98,-76.17,-1.19,-0.22,0.5255,0.5090,22,22,Loss,New Market Snapshot,eth-updown-15m-1767897000
1767898801027,2026-01-08T19:00:01.027Z,2026,1,8,19,0,1,27,BTC-UpDown-1h-1,"Bitcoin Up or Down - January 8, 1PM ET",0x704edc89063785760d61a1744c1407582e24fc023c70724156e364e2004d3bd0,192.79,383.46,576.25,1861.2500,527.1000,0.0055,0.9945,10.24,524.20,534.44,-182.55,140.74,-41.81,-7.26,0.1036,0.7275,355,325,UP Lost,Market Closed,bitcoin-up-or-down-january-8-1pm-et
1767898801033,2026-01-08T19:00:01.033Z,2026,1,8,19,0,1,33,ETH-UpDown-1h-1,"Ethereum Up or Down - January 8, 1PM ET",0xe130080cf67581d0e0cc46569602bdc51423fa891695a2bb2771a43f134eb308,146.00,311.42,457.41,1313.3100,395.6400,0.0300,0.9975,39.40,394.65,434.05,-106.60,83.23,-23.36,-5.11,0.1112,0.7871,389,341,DOWN Won,Market Closed,ethereum-up-or-down-january-8-1pm-et
1767900015153,2026-01-08T19:20:15.153Z,2026,1,8,19,20,15,153,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 2:30PM-2:45PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 2PM ET)",0x8cf38a238091f4e1bc3a968a4c3426c3c6187737f8073ace5c56b07c3029d1b6,152.02,342.16,494.18,558.9200,502.0300,0.1450,0.8550,81.04,429.24,510.28,-70.98,87.08,16.10,3.26,0.2720,0.6815,132,132,Profit,New Market Snapshot,btc-updown-15m-1767900600
1767900015199,2026-01-08T19:20:15.199Z,2026,1,8,19,20,15,199,ETH-UpDown-15,"Ethereum Up or Down - January 8, 2:30PM-2:45PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 2PM ET)",0xae9cfbfb80625d596164de24acd8ac6cec901156229f0c6f5b0dcfec8fd9f609,82.81,183.77,266.57,269.9200,271.6800,0.1350,0.8650,36.44,235.00,271.44,-46.37,51.24,4.87,1.83,0.3068,0.6764,52,51,Profit,New Market Snapshot,eth-updown-15m-1767900600
1767900338552,2026-01-08T19:25:38.552Z,2026,1,8,19,25,38,552,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 2:30PM-2:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 2PM ET)",0x8cf38a238091f4e1bc3a968a4c3426c3c6187737f8073ace5c56b07c3029d1b6,162.45,366.12,528.57,749.5300,528.1400,0.0250,0.9750,18.74,514.94,533.67,-143.71,148.82,5.11,0.97,0.2167,0.6932,217,190,Profit,New Market Snapshot,btc-updown-15m-1767900600
1767900338592,2026-01-08T19:25:38.592Z,2026,1,8,19,25,38,592,ETH-UpDown-15,"Ethereum Up or Down - January 8, 2:30PM-2:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 2PM ET)",0xae9cfbfb80625d596164de24acd8ac6cec901156229f0c6f5b0dcfec8fd9f609,97.33,217.06,314.38,459.3500,308.5500,0.0950,0.9050,43.64,279.24,322.88,-53.69,62.18,8.49,2.70,0.2119,0.7035,140,120,Profit,New Market Snapshot,eth-updown-15m-1767900600
